  release  -  production
2022-03-08 - 2025-02-23  🏷️ GL00001301713__3  - mbom 2022-03-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-03-08 - 2025-03-25  🏷️ GL00001301725__1  - mbom 2022-03-18, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-03-08 - 2025-03-25  🏷️ GL00001301725__2  - mbom 2022-03-18, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-03-08 - 2025-03-25  🏷️ GL00001301725__3  - mbom 2022-03-18, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-03-08 - 2025-03-25  🏷️ GL00001301733__1  - mbom 2022-03-18, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-03-08 - 2025-03-25  🏷️ GL00001301733__2  - mbom 2022-03-18, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-03-08 - 2025-03-25  🏷️ GL00001301733__3  - mbom 2022-03-18, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001288749__1  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001288749__2  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001288749__3  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001290490__1  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001290490__2  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001290490__3  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001301674__1  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001301674__2  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001301674__3  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001301688__1  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001301688__2  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001301688__3  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001329128__1  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001329128__2  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001329128__3  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001373888__1  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001373888__2  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-08 - 2025-04-23  🏷️ GL00001373888__3  - mbom 2022-03-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-09 - 2025-01-23  🏷️ GL00000575575__1  - mbom 2022-03-19, 1h - wi 2025-01-03, 40h - routing 2025-01-18, 2h
2022-03-09 - 2025-01-23  🏷️ GL00000575575__2  - mbom 2022-03-19, 1h - wi 2025-01-03, 40h - routing 2025-01-18, 2h
